Time: 0.138194
X,Y,UX,UY,Rho,P,E
0.5675,0.225,0,8.21433e-08,1,1,2.5
0.5675,0.235,0,3.56891e-07,1,1,2.5
0.5675,0.245,0,1.48416e-06,0.999999,0.999998,2.5
0.5675,0.255,0,5.8974e-06,0.999995,0.999993,2.49998
0.5675,0.265,0,2.23466e-05,0.999981,0.999974,2.49993
0.5675,0.275,0,8.05562e-05,0.999932,0.999905,2.49976
0.5675,0.285,0,0.000275451,0.999767,0.999674,2.49919
0.5675,0.295,0,0.000889816,0.999248,0.998948,2.49737
0.5675,0.305,0,0.00270302,0.997716,0.996806,2.49202
0.5675,0.315,0,0.00765376,0.993538,0.990976,2.47747
0.5675,0.325,0,0.0205063,0.982795,0.97599,2.44018
0.5675,0.335,0,0.0463488,0.96145,0.946437,2.36713
0.5675,0.345,0,0.0840474,0.930956,0.904692,2.26502
0.5675,0.355,0,0.129789,0.895013,0.856183,2.148
0.5675,0.365,0,0.180176,0.856696,0.805313,2.02719
0.5675,0.375,0,0.233187,0.817868,0.754682,1.90894
0.5675,0.385,0,0.287683,0.779346,0.705392,1.79573
0.5675,0.395,0,0.34328,0.741667,0.658115,1.68899
0.5675,0.405,0,0.399469,0.704967,0.61298,1.5887
0.5675,0.415,0,0.456156,0.669512,0.57026,1.49531
0.5675,0.425,0,0.513077,0.635377,0.529972,1.40856
0.5675,0.435,0,0.569871,0.602542,0.492024,1.3279
0.5675,0.445,0,0.626708,0.571439,0.456828,1.25429
0.5675,0.455,0,0.68219,0.541872,0.424036,1.18618
0.5675,0.465,0,0.737094,0.514394,0.394181,1.12519
0.5675,0.475,0,0.790408,0.488136,0.366326,1.06829
0.5675,0.485,0,0.843527,0.464671,0.341405,1.01883
0.5675,0.495,0,0.8848,0.444402,0.321163,0.976862
0.5675,0.505,0,0.916392,0.430965,0.308376,0.951896
0.5675,0.515,0,0.928195,0.426889,0.303057,0.941535
0.5675,0.525,0,0.930116,0.425408,0.301469,0.937687
0.5675,0.535,0,0.928362,0.424966,0.302453,0.939262
0.5675,0.545,0,0.926005,0.425513,0.304,0.942435
0.5675,0.555,0,0.924865,0.425864,0.304199,0.942634
0.5675,0.565,0,0.925846,0.425766,0.303467,0.941148
0.5675,0.575,0,0.927885,0.42535,0.302374,0.939043
0.5675,0.585,0,0.929161,0.424371,0.301991,0.938167
0.5675,0.595,0,0.929415,0.421279,0.302217,0.937495
0.5675,0.605,0,0.928182,0.411986,0.303239,0.935566
0.5675,0.615,0,0.927978,0.387406,0.30359,0.92578
0.5675,0.625,0,0.928167,0.348301,0.303426,0.908595
0.5675,0.635,0,0.928098,0.305726,0.303676,0.890861
0.5675,0.645,0,0.925356,0.273047,0.302727,0.87372
0.5675,0.655,0,0.925405,0.260588,0.302635,0.868169
0.5675,0.665,0,0.927454,0.259225,0.303144,0.86935
0.5675,0.675,0,0.928064,0.260857,0.303446,0.870954
0.5675,0.685,0,0.92777,0.263388,0.303258,0.871502
0.5675,0.695,0,0.92691,0.265499,0.303039,0.87165
0.5675,0.705,0,0.927158,0.266598,0.302932,0.871916
0.5675,0.715,0,0.929334,0.266947,0.30374,0.874627
0.5675,0.725,0,0.930887,0.266397,0.304088,0.875644
0.5675,0.735,0,0.862033,0.252411,0.282282,0.799489
0.5675,0.745,0,0.435475,0.178531,0.172084,0.447138
0.5675,0.755,0,0.069587,0.13245,0.109399,0.273819
0.5675,0.765,0,0.00789343,0.125889,0.101045,0.252616
0.5675,0.775,0,0.000828896,0.125096,0.10011,0.250274
0.5675,0.785,0,8.64638e-05,0.12501,0.100011,0.250029
0.5675,0.795,0,9.03191e-06,0.125001,0.100001,0.250003
0.5675,0.805,0,9.44035e-07,0.125,0.1,0.25
0.5675,0.815,0,9.86873e-08,0.125,0.1,0.25
0.5675,0.825,0,1.03162e-08,0.125,0.1,0.25
0.5675,0.835,0,1.07808e-09,0.125,0.1,0.25
0.5675,0.845,0,1.12586e-10,0.125,0.1,0.25
0.5675,0.855,0,1.17436e-11,0.125,0.1,0.25
0.5675,0.865,0,1.22267e-12,0.125,0.1,0.25
0.5675,0.875,0,1.26528e-13,0.125,0.1,0.25
0.5675,0.885,0,1.27257e-14,0.125,0.1,0.25
0.5675,0.895,0,1.23284e-15,0.125,0.1,0.25
0.5675,0.905,0,4.33968e-17,0.125,0.1,0.25
0.5675,0.915,0,-3.61468e-18,0.125,0.1,0.25
0.5675,0.925,0,0,0.125,0.1,0.25
0.5675,0.935,0,0,0.125,0.1,0.25
0.5675,0.945,0,0,0.125,0.1,0.25
0.5675,0.955,0,0,0.125,0.1,0.25
0.5675,0.965,0,0,0.125,0.1,0.25
0.5675,0.975,0,0,0.125,0.1,0.25
0.5675,0.985,0,0,0.125,0.1,0.25
0.5675,0.995,0,0,0.125,0.1,0.25
0.5725,0.005,0,0,1,1,2.5
0.5725,0.015,0,0,1,1,2.5
0.5725,0.025,0,0,1,1,2.5
0.5725,0.035,0,0,1,1,2.5
0.5725,0.045,0,0,1,1,2.5
0.5725,0.055,0,0,1,1,2.5
0.5725,0.065,0,0,1,1,2.5
0.5725,0.075,0,0,1,1,2.5
0.5725,0.085,0,0,1,1,2.5
0.5725,0.095,0,0,1,1,2.5
0.5725,0.105,0,8.31558e-17,1,1,2.5
0.5725,0.115,0,6.68787e-16,1,1,2.5
0.5725,0.125,0,4.34158e-15,1,1,2.5
0.5725,0.135,0,2.59223e-14,1,1,2.5
0.5725,0.145,0,1.57683e-13,1,1,2.5
0.5725,0.155,0,9.26368e-13,1,1,2.5
0.5725,0.165,0,5.26833e-12,1,1,2.5
0.5725,0.175,0,2.89153e-11,1,1,2.5
0.5725,0.185,0,1.53152e-10,1,1,2.5
0.5725,0.195,0,7.81607e-10,1,1,2.5
0.5725,0.205,0,3.83892e-09,1,1,2.5
0.5725,0.215,0,1.81242e-08,1,1,2.5
0.5725,0.225,0,8.21433e-08,1,1,2.5
0.5725,0.235,0,3.56891e-07,1,1,2.5
0.5725,0.245,0,1.48416e-06,0.999999,0.999998,2.5
0.5725,0.255,0,5.8974e-06,0.999995,0.999993,2.49998
0.5725,0.265,0,2.23466e-05,0.999981,0.999974,2.49993
0.5725,0.275,0,8.05562e-05,0.999932,0.999905,2.49976
0.5725,0.285,0,0.000275451,0.999767,0.999674,2.49919
0.5725,0.295,0,0.000889816,0.999248,0.998948,2.49737
0.5725,0.305,0,0.00270302,0.997716,0.996806,2.49202
0.5725,0.315,0,0.00765376,0.993538,0.990976,2.47747
0.5725,0.325,0,0.0205063,0.982795,0.97599,2.44018
0.5725,0.335,0,0.0463488,0.96145,0.946437,2.36713
0.5725,0.345,0,0.0840474,0.930956,0.904692,2.26502
0.5725,0.355,0,0.129789,0.895013,0.856183,2.148
0.5725,0.365,0,0.180176,0.856696,0.805313,2.02719
0.5725,0.375,0,0.233187,0.817868,0.754682,1.90894
0.5725,0.385,0,0.287683,0.779346,0.705392,1.79573
0.5725,0.395,0,0.34328,0.741667,0.658115,1.68899
0.5725,0.405,0,0.399469,0.704967,0.61298,1.5887
0.5725,0.415,0,0.456156,0.669512,0.57026,1.49531
0.5725,0.425,0,0.513077,0.635377,0.529972,1.40856
0.5725,0.435,0,0.569871,0.602542,0.492024,1.3279
0.5725,0.445,0,0.626708,0.571439,0.456828,1.25429
0.5725,0.455,0,0.68219,0.541872,0.424036,1.18618
0.5725,0.465,0,0.737094,0.514394,0.394181,1.12519
0.5725,0.475,0,0.790408,0.488136,0.366326,1.06829
0.5725,0.485,0,0.843527,0.464671,0.341405,1.01883
0.5725,0.495,0,0.8848,0.444402,0.321163,0.976862
0.5725,0.505,0,0.916392,0.430965,0.308376,0.951896
0.5725,0.515,0,0.928195,0.426889,0.303057,0.941535
0.5725,0.525,0,0.930116,0.425408,0.301469,0.937687
0.5725,0.535,0,0.928362,0.424966,0.302453,0.939262
0.5725,0.545,0,0.926005,0.425513,0.304,0.942435
0.5725,0.555,0,0.924865,0.425864,0.304199,0.942634
0.5725,0.565,0,0.925846,0.425766,0.303467,0.941148
0.5725,0.575,0,0.927885,0.42535,0.302374,0.939043
0.5725,0.585,0,0.929161,0.424371,0.301991,0.938167
0.5725,0.595,0,0.929415,0.421279,0.302217,0.937495
0.5725,0.605,0,0.928182,0.411986,0.303239,0.935566
0.5725,0.615,0,0.927978,0.387406,0.30359,0.92578
0.5725,0.625,0,0.928167,0.348301,0.303426,0.908595
0.5725,0.635,0,0.928098,0.305726,0.303676,0.890861
0.5725,0.645,0,0.925356,0.273047,0.302727,0.87372
0.5725,0.655,0,0.925405,0.260588,0.302635,0.868169
0.5725,0.665,0,0.927454,0.259225,0.303144,0.86935
0.5725,0.675,0,0.928064,0.260857,0.303446,0.870954
0.5725,0.685,0,0.92777,0.263388,0.303258,0.871502
0.5725,0.695,0,0.92691,0.265499,0.303039,0.87165
0.5725,0.705,0,0.927158,0.266598,0.302932,0.871916
0.5725,0.715,0,0.929334,0.266947,0.30374,0.874627
0.5725,0.725,0,0.930887,0.266397,0.304088,0.875644
0.5725,0.735,0,0.862033,0.252411,0.282282,0.799489
0.5725,0.745,0,0.435475,0.178531,0.172084,0.447138
0.5725,0.755,0,0.069587,0.13245,0.109399,0.273819
0.5725,0.765,0,0.00789343,0.125889,0.101045,0.252616
0.5725,0.775,0,0.000828896,0.125096,0.10011,0.250274
0.5725,0.785,0,8.64638e-05,0.12501,0.100011,0.250029
0.5725,0.795,0,9.03191e-06,0.125001,0.100001,0.250003
0.5725,0.805,0,9.44035e-07,0.125,0.1,0.25
0.5725,0.815,0,9.86873e-08,0.125,0.1,0.25
0.5725,0.825,0,1.03162e-08,0.125,0.1,0.25
0.5725,0.835,0,1.07808e-09,0.125,0.1,0.25
0.5725,0.845,0,1.12586e-10,0.125,0.1,0.25
0.5725,0.855,0,1.17436e-11,0.125,0.1,0.25
0.5725,0.865,0,1.22267e-12,0.125,0.1,0.25
0.5725,0.875,0,1.26528e-13,0.125,0.1,0.25
0.5725,0.885,0,1.27257e-14,0.125,0.1,0.25
0.5725,0.895,0,1.23284e-15,0.125,0.1,0.25
0.5725,0.905,0,4.33968e-17,0.125,0.1,0.25
0.5725,0.915,0,-3.61468e-18,0.125,0.1,0.25
0.5725,0.925,0,0,0.125,0.1,0.25
0.5725,0.935,0,0,0.125,0.1,0.25
0.5725,0.945,0,0,0.125,0.1,0.25
0.5725,0.955,0,0,0.125,0.1,0.25
0.5725,0.965,0,0,0.125,0.1,0.25
0.5725,0.975,0,0,0.125,0.1,0.25
0.5725,0.985,0,0,0.125,0.1,0.25
0.5725,0.995,0,0,0.125,0.1,0.25
0.5775,0.005,0,0,1,1,2.5
0.5775,0.015,0,0,1,1,2.5
0.5775,0.025,0,0,1,1,2.5
0.5775,0.035,0,0,1,1,2.5
0.5775,0.045,0,0,1,1,2.5
0.5775,0.055,0,0,1,1,2.5
0.5775,0.065,0,0,1,1,2.5
0.5775,0.075,0,0,1,1,2.5
0.5775,0.085,0,0,1,1,2.5
0.5775,0.095,0,0,1,1,2.5
0.5775,0.105,0,8.31558e-17,1,1,2.5
0.5775,0.115,0,6.68787e-16,1,1,2.5
0.5775,0.125,0,4.34158e-15,1,1,2.5
0.5775,0.135,0,2.59223e-14,1,1,2.5
0.5775,0.145,0,1.57683e-13,1,1,2.5
0.5775,0.155,0,9.26368e-13,1,1,2.5
0.5775,0.165,0,5.26833e-12,1,1,2.5
0.5775,0.175,0,2.89153e-11,1,1,2.5
0.5775,0.185,0,1.53152e-10,1,1,2.5
0.5775,0.195,0,7.81607e-10,1,1,2.5
0.5775,0.205,0,3.83892e-09,1,1,2.5
0.5775,0.215,0,1.81242e-08,1,1,2.5
0.5775,0.225,0,8.21433e-08,1,1,2.5
0.5775,0.235,0,3.56891e-07,1,1,2.5
0.5775,0.245,0,1.48416e-06,0.999999,0.999998,2.5
0.5775,0.255,0,5.8974e-06,0.999995,0.999993,2.49998
0.5775,0.265,0,2.23466e-05,0.999981,0.999974,2.49993
0.5775,0.275,0,8.05562e-05,0.999932,0.999905,2.49976
0.5775,0.285,0,0.000275451,0.999767,0.999674,2.49919
0.5775,0.295,0,0.000889816,0.999248,0.998948,2.49737
0.5775,0.305,0,0.00270302,0.997716,0.996806,2.49202
0.5775,0.315,0,0.00765376,0.993538,0.990976,2.47747
0.5775,0.325,0,0.0205063,0.982795,0.97599,2.44018
0.5775,0.335,0,0.0463488,0.96145,0.946437,2.36713
0.5775,0.345,0,0.0840474,0.930956,0.904692,2.26502
0.5775,0.355,0,0.129789,0.895013,0.856183,2.148
0.5775,0.365,0,0.180176,0.856696,0.805313,2.02719
0.5775,0.375,0,0.233187,0.817868,0.754682,1.90894
0.5775,0.385,0,0.287683,0.779346,0.705392,1.79573
0.5775,0.395,0,0.34328,0.741667,0.658115,1.68899
0.5775,0.405,0,0.399469,0.704967,0.61298,1.5887
0.5775,0.415,0,0.456156,0.669512,0.57026,1.49531
0.5775,0.425,0,0.513077,0.635377,0.529972,1.40856
0.5775,0.435,0,0.569871,0.602542,0.492024,1.3279
0.5775,0.445,0,0.626708,0.571439,0.456828,1.25429
0.5775,0.455,0,0.68219,0.541872,0.424036,1.18618
0.5775,0.465,0,0.737094,0.514394,0.394181,1.12519
0.5775,0.475,0,0.790408,0.488136,0.366326,1.06829
0.5775,0.485,0,0.843527,0.464671,0.341405,1.01883
0.5775,0.495,0,0.8848,0.444402,0.321163,0.976862
0.5775,0.505,0,0.916392,0.430965,0.308376,0.951896
0.5775,0.515,0,0.928195,0.426889,0.303057,0.941535
0.5775,0.525,0,0.930116,0.425408,0.301469,0.937687
0.5775,0.535,0,0.928362,0.424966,0.302453,0.939262
0.5775,0.545,0,0.926005,0.425513,0.304,0.942435
0.5775,0.555,0,0.924865,0.425864,0.304199,0.942634
0.5775,0.565,0,0.925846,0.425766,0.303467,0.941148
0.5775,0.575,0,0.927885,0.42535,0.302374,0.939043
0.5775,0.585,0,0.929161,0.424371,0.301991,0.938167
0.5775,0.595,0,0.929415,0.421279,0.302217,0.937495
0.5775,0.605,0,0.928182,0.411986,0.303239,0.935566
0.5775,0.615,0,0.927978,0.387406,0.30359,0.92578
0.5775,0.625,0,0.928167,0.348301,0.303426,0.908595
0.5775,0.635,0,0.928098,0.305726,0.303676,0.890861
0.5775,0.645,0,0.925356,0.273047,0.302727,0.87372
0.5775,0.655,0,0.925405,0.260588,0.302635,0.868169
0.5775,0.665,0,0.927454,0.259225,0.303144,0.86935
0.5775,0.675,0,0.928064,0.260857,0.303446,0.870954
0.5775,0.685,0,0.92777,0.263388,0.303258,0.871502
0.5775,0.695,0,0.92691,0.265499,0.303039,0.87165
0.5775,0.705,0,0.927158,0.266598,0.302932,0.871916
0.5775,0.715,0,0.929334,0.266947,0.30374,0.874627
0.5775,0.725,0,0.930887,0.266397,0.304088,0.875644
0.5775,0.735,0,0.862033,0.252411,0.282282,0.799489
0.5775,0.745,0,0.435475,0.178531,0.172084,0.447138
0.5775,0.755,0,0.069587,0.13245,0.109399,0.273819
0.5775,0.765,0,0.00789343,0.125889,0.101045,0.252616
0.5775,0.775,0,0.000828896,0.125096,0.10011,0.250274
0.5775,0.785,0,8.64638e-05,0.12501,0.100011,0.250029
0.5775,0.795,0,9.03191e-06,0.125001,0.100001,0.250003
0.5775,0.805,0,9.44035e-07,0.125,0.1,0.25
0.5775,0.815,0,9.86873e-08,0.125,0.1,0.25
0.5775,0.825,0,1.03162e-08,0.125,0.1,0.25
0.5775,0.835,0,1.07808e-09,0.125,0.1,0.25
0.5775,0.845,0,1.12586e-10,0.125,0.1,0.25
0.5775,0.855,0,1.17436e-11,0.125,0.1,0.25
0.5775,0.865,0,1.22267e-12,0.125,0.1,0.25
0.5775,0.875,0,1.26528e-13,0.125,0.1,0.25
0.5775,0.885,0,1.27257e-14,0.125,0.1,0.25
0.5775,0.895,0,1.23284e-15,0.125,0.1,0.25
0.5775,0.905,0,4.33968e-17,0.125,0.1,0.25
0.5775,0.915,0,-3.61468e-18,0.125,0.1,0.25
0.5775,0.925,0,0,0.125,0.1,0.25
0.5775,0.935,0,0,0.125,0.1,0.25
0.5775,0.945,0,0,0.125,0.1,0.25
0.5775,0.955,0,0,0.125,0.1,0.25
0.5775,0.965,0,0,0.125,0.1,0.25
0.5775,0.975,0,0,0.125,0.1,0.25
0.5775,0.985,0,0,0.125,0.1,0.25
0.5775,0.995,0,0,0.125,0.1,0.25
0.5825,0.005,0,0,1,1,2.5
0.5825,0.015,0,0,1,1,2.5
0.5825,0.025,0,0,1,1,2.5
0.5825,0.035,0,0,1,1,2.5
0.5825,0.045,0,0,1,1,2.5
0.5825,0.055,0,0,1,1,2.5
0.5825,0.065,0,0,1,1,2.5
0.5825,0.075,0,0,1,1,2.5
0.5825,0.085,0,0,1,1,2.5
0.5825,0.095,0,0,1,1,2.5
0.5825,0.105,0,8.31558e-17,1,1,2.5
0.5825,0.115,0,6.68787e-16,1,1,2.5
0.5825,0.125,0,4.34158e-15,1,1,2.5
0.5825,0.135,0,2.59223e-14,1,1,2.5
0.5825,0.145,0,1.57683e-13,1,1,2.5
0.5825,0.155,0,9.26368e-13,1,1,2.5
0.5825,0.165,0,5.26833e-12,1,1,2.5
0.5825,0.175,0,2.89153e-11,1,1,2.5
0.5825,0.185,0,1.53152e-10,1,1,2.5
0.5825,0.195,0,7.81607e-10,1,1,2.5
0.5825,0.205,0,3.83892e-09,1,1,2.5
0.5825,0.215,0,1.81242e-08,1,1,2.5
0.5825,0.225,0,8.21433e-08,1,1,2.5
0.5825,0.235,0,3.56891e-07,1,1,2.5
0.5825,0.245,0,1.48416e-06,0.999999,0.999998,2.5
0.5825,0.255,0,5.8974e-06,0.999995,0.999993,2.49998
0.5825,0.265,0,2.23466e-05,0.999981,0.999974,2.49993
0.5825,0.275,0,8.05562e-05,0.999932,0.999905,2.49976
0.5825,0.285,0,0.000275451,0.999767,0.999674,2.49919
0.5825,0.295,0,0.000889816,0.999248,0.998948,2.49737
0.5825,0.305,0,0.00270302,0.997716,0.996806,2.49202
0.5825,0.315,0,0.00765376,0.993538,0.990976,2.47747
0.5825,0.325,0,0.0205063,0.982795,0.97599,2.44018
0.5825,0.335,0,0.0463488,0.96145,0.946437,2.36713
0.5825,0.345,0,0.0840474,0.930956,0.904692,2.26502
0.5825,0.355,0,0.129789,0.895013,0.856183,2.148
0.5825,0.365,0,0.180176,0.856696,0.805313,2.02719
0.5825,0.375,0,0.233187,0.817868,0.754682,1.90894
0.5825,0.385,0,0.287683,0.779346,0.705392,1.79573
0.5825,0.395,0,0.34328,0.741667,0.658115,1.68899
0.5825,0.405,0,0.399469,0.704967,0.61298,1.5887
0.5825,0.415,0,0.456156,0.669512,0.57026,1.49531
0.5825,0.425,0,0.513077,0.635377,0.529972,1.40856
0.5825,0.435,0,0.569871,0.602542,0.492024,1.3279
0.5825,0.445,0,0.626708,0.571439,0.456828,1.25429
0.5825,0.455,0,0.68219,0.541872,0.424036,1.18618
0.5825,0.465,0,0.737094,0.514394,0.394181,1.12519
0.5825,0.475,0,0.790408,0.488136,0.366326,1.06829
0.5825,0.485,0,0.843527,0.464671,0.341405,1.01883
0.5825,0.495,0,0.8848,0.444402,0.321163,0.976862
0.5825,0.505,0,0.916392,0.430965,0.308376,0.951896
0.5825,0.515,0,0.928195,0.426889,0.303057,0.941535
0.5825,0.525,0,0.930116,0.425408,0.301469,0.937687
0.5825,0.535,0,0.928362,0.424966,0.302453,0.939262
0.5825,0.545,0,0.926005,0.425513,0.304,0.942435
0.5825,0.555,0,0.924865,0.425864,0.304199,0.942634
0.5825,0.565,0,0.925846,0.425766,0.303467,0.941148
0.5825,0.575,0,0.927885,0.42535,0.302374,0.939043
0.5825,0.585,0,0.929161,0.424371,0.301991,0.938167
0.5825,0.595,0,0.929415,0.421279,0.302217,0.937495
0.5825,0.605,0,0.928182,0.411986,0.303239,0.935566
0.5825,0.615,0,0.927978,0.387406,0.30359,0.92578
0.5825,0.625,0,0.928167,0.348301,0.303426,0.908595
0.5825,0.635,0,0.928098,0.305726,0.303676,0.890861
0.5825,0.645,0,0.925356,0.273047,0.302727,0.87372
0.5825,0.655,0,0.925405,0.260588,0.302635,0.868169
0.5825,0.665,0,0.927454,0.259225,0.303144,0.86935
0.5825,0.675,0,0.928064,0.260857,0.303446,0.870954
0.5825,0.685,0,0.92777,0.263388,0.303258,0.871502
0.5825,0.695,0,0.92691,0.265499,0.303039,0.87165
0.5825,0.705,0,0.927158,0.266598,0.302932,0.871916
0.5825,0.715,0,0.929334,0.266947,0.30374,0.874627
0.5825,0.725,0,0.930887,0.266397,0.304088,0.875644
0.5825,0.735,0,0.862033,0.252411,0.282282,0.799489
0.5825,0.745,0,0.435475,0.178531,0.172084,0.447138
0.5825,0.755,0,0.069587,0.13245,0.109399,0.273819
0.5825,0.765,0,0.00789343,0.125889,0.101045,0.252616
0.5825,0.775,0,0.000828896,0.125096,0.10011,0.250274
0.5825,0.785,0,8.64638e-05,0.12501,0.100011,0.250029
0.5825,0.795,0,9.03191e-06,0.125001,0.100001,0.250003
0.5825,0.805,0,9.44035e-07,0.125,0.1,0.25
0.5825,0.815,0,9.86873e-08,0.125,0.1,0.25
0.5825,0.825,0,1.03162e-08,0.125,0.1,0.25
0.5825,0.835,0,1.07808e-09,0.125,0.1,0.25
0.5825,0.845,0,1.12586e-10,0.125,0.1,0.25
0.5825,0.855,0,1.17436e-11,0.125,0.1,0.25
0.5825,0.865,0,1.22267e-12,0.125,0.1,0.25
0.5825,0.875,0,1.26528e-13,0.125,0.1,0.25
0.5825,0.885,0,1.27257e-14,0.125,0.1,0.25
0.5825,0.895,0,1.23284e-15,0.125,0.1,0.25
0.5825,0.905,0,4.33968e-17,0.125,0.1,0.25
0.5825,0.915,0,-3.61468e-18,0.125,0.1,0.25
0.5825,0.925,0,0,0.125,0.1,0.25
0.5825,0.935,0,0,0.125,0.1,0.25
0.5825,0.945,0,0,0.125,0.1,0.25
0.5825,0.955,0,0,0.125,0.1,0.25
0.5825,0.965,0,0,0.125,0.1,0.25
0.5825,0.975,0,0,0.125,0.1,0.25
0.5825,0.985,0,0,0.125,0.1,0.25
0.5825,0.995,0,0,0.125,0.1,0.25
0.5875,0.005,0,0,1,1,2.5
0.5875,0.015,0,0,1,1,2.5
0.5875,0.025,0,0,1,1,2.5
0.5875,0.035,0,0,1,1,2.5
0.5875,0.045,0,0,1,1,2.5
0.5875,0.055,0,0,1,1,2.5
0.5875,0.065,0,0,1,1,2.5
0.5875,0.075,0,0,1,1,2.5
0.5875,0.085,0,0,1,1,2.5
0.5875,0.095,0,0,1,1,2.5
0.5875,0.105,0,8.31558e-17,1,1,2.5
0.5875,0.115,0,6.68787e-16,1,1,2.5
0.5875,0.125,0,4.34158e-15,1,1,2.5
0.5875,0.135,0,2.59223e-14,1,1,2.5
0.5875,0.145,0,1.57683e-13,1,1,2.5
0.5875,0.155,0,9.26368e-13,1,1,2.5
0.5875,0.165,0,5.26833e-12,1,1,2.5
0.5875,0.175,0,2.89153e-11,1,1,2.5
0.5875,0.185,0,1.53152e-10,1,1,2.5
0.5875,0.195,0,7.81607e-10,1,1,2.5
0.5875,0.205,0,3.83892e-09,1,1,2.5
0.5875,0.215,0,1.81242e-08,1,1,2.5
0.5875,0.225,0,8.21433e-08,1,1,2.5
0.5875,0.235,0,3.56891e-07,1,1,2.5
0.5875,0.245,0,1.48416e-06,0.999999,0.999998,2.5
0.5875,0.255,0,5.8974e-06,0.999995,0.999993,2.49998
0.5875,0.265,0,2.23466e-05,0.999981,0.999974,2.49993
0.5875,0.275,0,8.05562e-05,0.999932,0.999905,2.49976
0.5875,0.285,0,0.000275451,0.999767,0.999674,2.49919
0.5875,0.295,0,0.000889816,0.999248,0.998948,2.49737
0.5875,0.305,0,0.00270302,0.997716,0.996806,2.49202
0.5875,0.315,0,0.00765376,0.993538,0.990976,2.47747
0.5875,0.325,0,0.0205063,0.982795,0.97599,2.44018
0.5875,0.335,0,0.0463488,0.96145,0.946437,2.36713
0.5875,0.345,0,0.0840474,0.930956,0.904692,2.26502
0.5875,0.355,0,0.129789,0.895013,0.856183,2.148
0.5875,0.365,0,0.180176,0.856696,0.805313,2.02719
0.5875,0.375,0,0.233187,0.817868,0.754682,1.90894
0.5875,0.385,0,0.287683,0.779346,0.705392,1.79573
0.5875,0.395,0,0.34328,0.741667,0.658115,1.68899
0.5875,0.405,0,0.399469,0.704967,0.61298,1.5887
0.5875,0.415,0,0.456156,0.669512,0.57026,1.49531
0.5875,0.425,0,0.513077,0.635377,0.529972,1.40856
0.5875,0.435,0,0.569871,0.602542,0.492024,1.3279
0.5875,0.445,0,0.626708,0.571439,0.456828,1.25429
0.5875,0.455,0,0.68219,0.541872,0.424036,1.18618
0.5875,0.465,0,0.737094,0.514394,0.394181,1.12519
0.5875,0.475,0,0.790408,0.488136,0.366326,1.06829
0.5875,0.485,0,0.843527,0.464671,0.341405,1.01883
0.5875,0.495,0,0.8848,0.444402,0.321163,0.976862
0.5875,0.505,0,0.916392,0.430965,0.308376,0.951896
0.5875,0.515,0,0.928195,0.426889,0.303057,0.941535
0.5875,0.525,0,0.930116,0.425408,0.301469,0.937687
0.5875,0.535,0,0.928362,0.424966,0.302453,0.939262
0.5875,0.545,0,0.926005,0.425513,0.304,0.942435
0.5875,0.555,0,0.924865,0.425864,0.304199,0.942634
0.5875,0.565,0,0.925846,0.425766,0.303467,0.941148
0.5875,0.575,0,0.927885,0.42535,0.302374,0.939043
0.5875,0.585,0,0.929161,0.424371,0.301991,0.938167
0.5875,0.595,0,0.929415,0.421279,0.302217,0.937495
0.5875,0.605,0,0.928182,0.411986,0.303239,0.935566
0.5875,0.615,0,0.927978,0.387406,0.30359,0.92578
0.5875,0.625,0,0.928167,0.348301,0.303426,0.908595
0.5875,0.635,0,0.928098,0.305726,0.303676,0.890861
0.5875,0.645,0,0.925356,0.273047,0.302727,0.87372
0.5875,0.655,0,0.925405,0.260588,0.302635,0.868169
0.5875,0.665,0,0.927454,0.259225,0.303144,0.86935
0.5875,0.675,0,0.928064,0.260857,0.303446,0.870954
0.5875,0.685,0,0.92777,0.263388,0.303258,0.871502
0.5875,0.695,0,0.92691,0.265499,0.303039,0.87165
0.5875,0.705,0,0.927158,0.266598,0.302932,0.871916
0.5875,0.715,0,0.929334,0.266947,0.30374,0.874627
0.5875,0.725,0,0.930887,0.266397,0.304088,0.875644
0.5875,0.735,0,0.862033,0.252411,0.282282,0.799489
0.5875,0.745,0,0.435475,0.178531,0.172084,0.447138
0.5875,0.755,0,0.069587,0.13245,0.109399,0.273819
0.5875,0.765,0,0.00789343,0.125889,0.101045,0.252616
0.5875,0.775,0,0.000828896,0.125096,0.10011,0.250274
0.5875,0.785,0,8.64638e-05,0.12501,0.100011,0.250029
0.5875,0.795,0,9.03191e-06,0.125001,0.100001,0.250003
0.5875,0.805,0,9.44035e-07,0.125,0.1,0.25
0.5875,0.815,0,9.86873e-08,0.125,0.1,0.25
0.5875,0.825,0,1.03162e-08,0.125,0.1,0.25
0.5875,0.835,0,1.07808e-09,0.125,0.1,0.25
0.5875,0.845,0,1.12586e-10,0.125,0.1,0.25
0.5875,0.855,0,1.17436e-11,0.125,0.1,0.25
0.5875,0.865,0,1.22267e-12,0.125,0.1,0.25
0.5875,0.875,0,1.26528e-13,0.125,0.1,0.25
0.5875,0.885,0,1.27257e-14,0.125,0.1,0.25
0.5875,0.895,0,1.23284e-15,0.125,0.1,0.25
0.5875,0.905,0,4.33968e-17,0.125,0.1,0.25
0.5875,0.915,0,-3.61468e-18,0.125,0.1,0.25
0.5875,0.925,0,0,0.125,0.1,0.25
0.5875,0.935,0,0,0.125,0.1,0.25
0.5875,0.945,0,0,0.125,0.1,0.25
0.5875,0.955,0,0,0.125,0.1,0.25
